353,671
351,875
365,1091
411,1293
471,1495
585,1707
705,1817
845,1929
1025,1969
1203,1929
1343,1817
1463,1707
1577,1495
1637,1293
1683,1091
1697,875
1695,671
499,711
595,691
701,689
827,703
935,763
1113,763
1221,703
1347,689
1453,691
1549,711
1025,839
1025,993
1025,1145
1025,1301
859,1377
941,1397
1025,1407
1107,1397
1189,1377
605,861
673,827
781,829
859,885
781,915
683,919
1189,885
1267,829
1375,827
1443,861
1365,919
1267,915
781,1577
877,1535
959,1507
1025,1513
1089,1507
1171,1535
1267,1577
1201,1633
1135,1669
1021,1697
913,1669
847,1633
825,1579
925,1579
1025,1579
1123,1579
1223,1579
1129,1597
1025,1603
919,1597
353,317
673,171
1025,141
1375,171
1695,317
